Line list produced by PGOPHER 11.0.138 10 Dec 2020 18:41  64 bit (fpc 3.3.1 x86_64-Darwin),11000138
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
I(DOH)-,Excited,4,A,3,Ground,4,A,5,3635.18912171055,6.96866434448251E-11,3705.24503190776,70.0559101972151,0.000160945519452302,0.808240943603475,0,"pQ2,2(4)",Excited Free OH  4  1  3 - Ground v=0  4  2  2
I(DOH)-,Excited,8,A,2,Ground,8,A,4,3635.19453394826,7.5584641159493E-11,3709.63111938641,74.4365854381505,0.000327861668402378,0.871662030379448,0,"pQ2,7(8)",Excited Free OH  8  1  8 - Ground v=0  8  2  7
I(DOH)-,Excited,9,A,2,Ground,9,A,4,3635.21037889595,6.828746417125E-11,3711.16335058657,75.9529716906189,0.000368425687908717,0.876412143372689,0,"pQ2,8(9)",Excited Free OH  9  1  9 - Ground v=0  9  2  8
I(DOH)-,Excited,5,A,3,Ground,5,A,5,3635.21811594315,7.82658074888147E-11,3706.11647333896,70.8983573958062,0.000204052522850472,0.838424847928515,0,"pQ2,3(5)",Excited Free OH  5  1  4 - Ground v=0  5  2  3
I(DOH)-,Excited,10,A,2,Ground,10,A,4,3635.22798048571,5.94544734255224E-11,3712.86582381577,77.6378433300567,0.000408764470741733,0.87977625958621,0,"pQ2,9(10)",Excited Free OH 10  1 10 - Ground v=0 10  2  9
I(DOH)-,Excited,11,A,2,Ground,11,A,4,3635.24733748683,5.00123476042278E-11,3714.73853721979,79.4911997329647,0.000448924542893658,0.882207698960116,0,"pQ2,10(11)",Excited Free OH 11  1 11 - Ground v=0 11  2 10
I(DOH)-,Excited,6,A,3,Ground,6,A,5,3635.25290354431,8.16338128333505E-11,3707.16220100767,71.9092974633608,0.000246155111671132,0.855840495100274,0,"pQ2,4(6)",Excited Free OH  6  1  5 - Ground v=0  6  2  4
I(DOH)-,Excited,12,A,2,Ground,12,A,4,3635.26844854716,4.07212252353078E-11,3716.78148876066,81.513040213494,0.000488936236409555,0.883985442724568,0,"pQ2,11(12)",Excited Free OH 12  1 12 - Ground v=0 12  2 11
I(DOH)-,Excited,13,A,2,Ground,13,A,4,3635.29131219365,3.2137587372882E-11,3718.99467621709,83.7033640234461,0.000528819752100526,0.885288851326652,0,"pQ2,12(13)",Excited Free OH 13  1 13 - Ground v=0 13  2 12
I(DOH)-,Excited,7,A,3,Ground,7,A,5,3635.29348152525,8.05158954043797E-11,3708.38221379562,73.0887322703703,0.000287685336039185,0.866898666533163,0,"pQ2,5(7)",Excited Free OH  7  1  6 - Ground v=0  7  2  5
I(DOH)-,Excited,14,A,2,Ground,14,A,4,3635.31592683275,2.4610085868701E-11,3721.37809718503,86.0621703522737,0.000568588687257882,0.886237513991406,0,"pQ2,13(14)",Excited Free OH 14  1 14 - Ground v=0 14  2 13
I(DOH)-,Excited,8,A,3,Ground,8,A,5,3635.33984639846,7.58163230179454E-11,3709.77651039752,74.4366639990664,0.000328870346445943,0.874448586162354,0,"pQ2,6(8)",Excited Free OH  8  1  7 - Ground v=0  8  2  6
I(DOH)-,Excited,15,A,2,Ground,15,A,4,3635.34229075108,1.83012300831055E-11,3723.93174907816,88.5894583270803,0.000608252185650162,0.886913664099884,0,"pQ2,14(15)",Excited Free OH 15  1 15 - Ground v=0 15  2 14
I(DOH)-,Excited,16,A,2,Ground,16,A,4,3635.37040211593,1.32252106163979E-11,3726.65562912855,91.2852270126212,0.000647816299789783,0.88737536470563,0,"pQ2,15(16)",Excited Free OH 16  1 16 - Ground v=0 16  2 15
I(DOH)-,Excited,9,A,3,Ground,9,A,5,3635.39199417733,6.85488926420041E-11,3711.34508932075,75.9530951434139,0.000369842720365695,0.87991485306314,0,"pQ2,7(9)",Excited Free OH  9  1  8 - Ground v=0  9  2  7
I(DOH)-,Excited,17,A,2,Ground,17,A,4,3635.40025897597,9.29210562048686E-12,3729.54973438727,94.1494754113036,0.000687284883154518,0.887664566350227,0,"pQ2,16(17)",Excited Free OH 17  1 17 - Ground v=0 17  2 16
I(DOH)-,Excited,18,A,2,Ground,18,A,4,3635.43185926188,6.35049967522266E-12,3732.61406172507,97.182202463187,0.000726660191509514,0.887812196209845,0,"pQ2,17(18)",Excited Free OH 18  1 18 - Ground v=0 18  2 17
